CF,MF1 Shade,MF2 Dense,MF3G GroundSun,MF3L LowSun,MF3U UpSun,MF4-NIR Reflect,MF4-PAR Trans,MF4-STR Scatter,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF23,MF24,MF25,MF26,MF27,MF28,MF29
CF9_WHC,3,6,-8,-4,-2,2,1,2,4,3,-10,8,10,-12,0,0,0,0,-5,5,12,7,0,3,4,0,4,0,0
CF10_Comp,0,0,-2,-1,0,0,0,0,0,0,0,0,0,-3,0,-4,3,0,0,8,4,0,0,3,0,0,6,0,0
CF12_Eros,4,5,-12,-6,-3,1,0,1,0,0,0,6,0,0,5,0,0,0,0,4,7,8,0,0,15,0,0,0,0
CF20_Bio,5,8,-15,-8,-4,3,2,3,7,6,-12,9,8,-10,0,-5,0,4,-10,7,12,8,6,10,3,-6,12,3,8
CF22_Eworm,2,4,-10,-5,-2,2,1,1,3,0,0,10,5,-8,0,-4,0,4,-8,3,12,5,5,8,0,0,8,0,0
CF27_BDens,0,0,-3,-2,0,0,0,0,0,0,0,0,0,-4,0,-3,4,0,0,10,8,0,0,5,0,0,5,0,0
CF1_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,12,0,0,6,0,0
CF2_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,5,0,12
CF3_K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0
CF4_OC,0,0,-5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,6,5,12,4,0,8,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Values indicate % change per Annum in the CF caused by the presence of the micro-feature,,,,,,,,,,,,,,,,,,,,,,,,,,