CF,MF1_PartialShade,MF2_DenseShade,MF3G_GroundSun,MF5_SurfaceCool,MF6_CanopyCool,MF7_HeatAccum,MF8_RedEvap,MF9_MoistRetain,MF10_RapidDry,MF11_WindBarrier,MF12_AirReduce,MF13_AirEnhance,MF16_RootChannel,MF17_SurfaceMulch,MF18_GroundCover,MF23_NFix,MF24_NutCycle,MF27_RhizoMicrobe,MF29_PCycling
CF1_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,0
CF2_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF3_K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF4_OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF5_pH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF6_EC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0
CF7_Texture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF8_Depth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF9_WHC,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0
CF10_Compaction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF11_Drainage,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0
CF12_Erosion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF13_GW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF14_Irrigation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF15_RainReliability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF16_Temp,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF17_HeatDays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF18_Frost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF19_Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF20_BioIndex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,0
CF21_PestPressure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF22_Earthworms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,0
CF23_Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF24_FloodRisk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF25_DroughtRisk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF26_Ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF27_BulkDensity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF28_GWDepth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0